product_id,name,current_price,original_price,discount,available_sizes,colors,availability,url,image_url
s20850_black-and-white,Chelsie Polka Dot Hoodie,$44.00,$88.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s20850_black-and-white,https://edikted.com/cdn/shop/files/1_0c13db94-c76c-429e-ab6b-ed9f3e3ec423.png?v=1756491566&width=600
s21398_light-pink,Love Edikted Wide Leg Sweatpants,$40.00,$80.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21398_light-pink,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_05_20243119.jpg?v=1755428814&width=600
s20066_beige,Jesika Sweetheart Halter Top,$24.00,$48.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s20066_beige,https://edikted.com/cdn/shop/files/Eedikted_Lookbook_08_13_202510348.jpg?v=1756635279&width=600
s15144_black,Model Off Duty Ribbed Bodysuit,$27.00,$54.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s15144_black,https://edikted.com/cdn/shop/files/Edikted_Lookbook_09_04_202328137.jpg?v=1713910412&width=600
s17389_olive,Drop Shoulder Light Knit Sweater,$33.00,$66.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s17389_olive,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_04_20250801.jpg?v=1754485376&width=600
s21710_cream,Braided Cable Knit Oversized Sweater,$49.00,$98.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21710_cream,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_27_202513390copy.jpg?v=1756890852&width=600
s21687_dark-gray,Cierra Sequin Knit Cardigan,$49.00,$98.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21687_dark-gray,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_05_20243805.jpg?v=1756633259&width=600
s15782_blue-washed,Petite Raelynn Washed Low Rise Jeans,$38.40,$96.00,60% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s15782_blue-washed,https://edikted.com/cdn/shop/files/Edikted_Lookbook_04_03_202412084_53db0a19-5cb0-4bc0-94c6-73b05fe09d80.jpg?v=1712579930&width=600
s20942_white-and-black,Noreen Polka Dot Mini Skort,$28.00,$56.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s20942_white-and-black,https://edikted.com/cdn/shop/files/acom_34.jpg?v=1756072188&width=600
s16644_leopard,Leopard Printed Low Rise Jeans,$20.40,$102.00,80% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s16644_leopard,https://edikted.com/cdn/shop/files/Edikted_Lookbook_03_26_20249228.jpg?v=1712755787&width=600
s21100_yellow,New York Babe Off Shoulder Top,$26.00,$52.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21100_yellow,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_27_202514668_2234cf48-be21-415e-bf8b-efdd36300360.jpg?v=1757019266&width=600
s12612_navy-and-white,Jinx Polka Dot Open-Back Top,$18.00,$36.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s12612_navy-and-white,https://edikted.com/cdn/shop/files/Edikted_Lookbook_07_21_2025278658copy.jpg?v=1755075456&width=600
